(8194, '10ανακυψασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12746, 'αγαπητα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(17304, 'αγαπητε', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(15708, 'αγαπητη', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(12551, 'αγαπητην', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12280, 'αγαπητοι', 30, 'N/A', 'N/A', 'N/A', 'N/A')
(10169, 'αγαπητοισ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(5010, 'αγαπητον', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(520, 'αγαπητοσ', 15, 'N/A', 'N/A', 'N/A', 'N/A')
(14699, 'αγαπητου', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14840, 'αγαπητω', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(8550, 'αγαπω', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(13978, 'αγαπωμαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17252, 'αγαπωμεν', 10, 'N/A', 'N/A', 'N/A', 'N/A')
(8535, 'αγαπων', 16, 'N/A', 'N/A', 'N/A', 'N/A')
(930, 'αγαπωντασ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(17398, 'αγαπωντι', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14503, 'αγαπωντων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6050, 'αγαπωσιν', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(14167, 'αγαρ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(5245, 'αγγαρευουσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(898, 'αγγαρευσει', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2323, 'αγγεια', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(3610, 'αγγειοισ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(17216, 'αγγελια', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8780, 'αγγελλουσα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(591, 'αγγελοι', 23, 'N/A', 'N/A', 'N/A', 'N/A')
(561, 'αγγελοισ', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(1845, 'αγγελον', 32, 'N/A', 'N/A', 'N/A', 'N/A')
(133, 'αγγελοσ', 72, 'N/A', 'N/A', 'N/A', 'N/A')
(5624, 'αγγελου', 14, 'N/A', 'N/A', 'N/A', 'N/A')
(2294, 'αγγελουσ', 20, 'N/A', 'N/A', 'N/A', 'N/A')
(5600, 'αγγελω', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(2671, 'αγγελων', 33, 'N/A', 'N/A', 'N/A', 'N/A')
(2324, 'αγγη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15563, 'αγε', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(7645, 'αγει', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(10997, 'αγειν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1415, 'αγελη', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(1422, 'αγελην', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(15965, 'αγενεαλογητοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12629, 'αγενη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10885, 'αγεσθαι', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(14204, 'αγεσθε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9418, 'αγια', 16, 'N/A', 'N/A', 'N/A', 'N/A')
(16106, 'αγιαζει', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15214, 'αγιαζεται', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15785, 'αγιαζομενοι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16154, 'αγιαζομενουσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3372, 'αγιαζον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8637, 'αγιαζω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3368, 'αγιαζων', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(16881, 'αγιαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11605, 'αγιαισ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(552, 'αγιαν', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(5549, 'αγιασ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(14983, 'αγιασαι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3369, 'αγιασασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16909, 'αγιασατε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14452, 'αγιαση', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(993, 'αγιασθητω', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(11971, 'αγιασμον', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(12633, 'αγιασμοσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14929, 'αγιασμω', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(8635, 'αγιασον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8628, 'αγιε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3675, 'αγιοι', 12, 'N/A', 'N/A', 'N/A', 'N/A')
(9615, 'αγιοισ', 25, 'N/A', 'N/A', 'N/A', 'N/A')
(1145, 'αγιον', 50, 'N/A', 'N/A', 'N/A', 'N/A')
(4184, 'αγιοσ', 21, 'N/A', 'N/A', 'N/A', 'N/A')
(16362, 'αγιοτητοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(117, 'αγιου', 54, 'N/A', 'N/A', 'N/A', 'N/A')
(9659, 'αγιουσ', 12, 'N/A', 'N/A', 'N/A', 'N/A')
(475, 'αγιω', 34, 'N/A', 'N/A', 'N/A', 'N/A')
(4053, 'αγιων', 48, 'N/A', 'N/A', 'N/A', 'N/A')
(14925, 'αγιωσυνη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13677, 'αγιωσυνην', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11607, 'αγιωσυνησ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17385, 'αγιωτατη', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(5645, 'αγκαλασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2759, 'αγκιστρον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15953, 'αγκυραν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11444, 'αγκυρασ', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(14658, 'αγνα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15644, 'αγνασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1520, 'αγναφου', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(15236, 'αγνεια', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(16629, 'αγνη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13868, 'αγνην', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(17247, 'αγνιζει', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16656, 'αγνισατε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10855, 'αγνισθεισ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10843, 'αγνισθητι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10858, 'αγνισμου', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8398, 'αγνισωσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13288, 'αγνοει', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11622, 'αγνοειν', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(13290, 'αγνοειται', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11932, 'αγνοειτε', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(13289, 'αγνοειτω', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(16085, 'αγνοηματων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9982, 'αγνοησαντεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16777, 'αγνοια', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9078, 'αγνοιαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(10431, 'αγνοιασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15305, 'αγνον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13484, 'αγνοουμεν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13647, 'αγνοουμενοι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14048, 'αγνοουμενοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10407, 'αγνοουντεσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(15876, 'αγνοουσιν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(17248, 'αγνοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13641, 'αγνοτητι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13872, 'αγνοτητοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13706, 'αγνουσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11715, 'αγνοων', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14523, 'αγνωσ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(13334, 'αγνωσιαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(10406, 'αγνωστω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15508, 'αγομενα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7302, 'αγομενουσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(2369, 'αγομενων', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(10643, 'αγονται', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(10827, 'αγοντεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1878, 'αγορα', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(2306, 'αγοραζει', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(3099, 'αγοραζοντασ', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(12904, 'αγοραζοντεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10642, 'αγοραιοι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1873, 'αγοραισ', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(10336, 'αγοραιων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10268, 'αγοραν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4679, 'αγορασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3630, 'αγορασαι', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(17066, 'αγορασαντα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5287, 'αγορασασ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3627, 'αγορασατε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7424, 'αγορασατω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7423, 'αγορασει', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8030, 'αγορασομεν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8503, 'αγορασον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(4623, 'αγορασωμεν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(2404, 'αγορασωσιν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(8153, 'αγουσιν', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(5936, 'αγρα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9122, 'αγραμματοι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5919, 'αγραν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5589, 'αγραυλουντεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5014, 'αγρευσωσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17372, 'αγρια', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12245, 'αγριελαιοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12272, 'αγριελαιου', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(408, 'αγριον', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(11209, 'αγριππα', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(11180, 'αγριππασ', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(2307, 'αγρον', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(2285, 'αγροσ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(1088, 'αγρου', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(2964, 'αγρουσ', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(5095, 'αγρυπνειτε', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(13640, 'αγρυπνιαισ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14496, 'αγρυπνουντεσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(16470, 'αγρυπνουσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2224, 'αγρω', 13, 'N/A', 'N/A', 'N/A', 'N/A')
(4968, 'αγρων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8696, 'αγω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15520, 'αγωγη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3832, 'αγωμεν', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(14544, 'αγωνα', 7, 'N/A', 'N/A', 'N/A', 'N/A')
(14884, 'αγωνι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(7434, 'αγωνια', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6753, 'αγωνιζεσθε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15230, 'αγωνιζομεθα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13009, 'αγωνιζομενοσ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(15356, 'αγωνιζου', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5074, 'αγωσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5819, 'αδαμ', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(12992, 'αδαπανον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5779, 'αδδι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(2347, 'αδελφαι', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(2963, 'αδελφασ', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(6084, 'αδελφε', 6, 'N/A', 'N/A', 'N/A', 'N/A')
(2125, 'αδελφη', 11, 'N/A', 'N/A', 'N/A', 'N/A')
(8340, 'αδελφην', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(8332, 'αδελφησ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(2119, 'αδελφοι', 173, 'N/A', 'N/A', 'N/A', 'N/A')
(4130, 'αδελφοισ', 17, 'N/A', 'N/A', 'N/A', 'N/A')
(627, 'αδελφον', 45, 'N/A', 'N/A', 'N/A', 'N/A')
(804, 'αδελφοσ', 51, 'N/A', 'N/A', 'N/A', 'N/A')
(16844, 'αδελφοτητα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17001, 'αδελφοτητι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(1133, 'αδελφου', 19, 'N/A', 'N/A', 'N/A', 'N/A')
(19, 'αδελφουσ', 41, 'N/A', 'N/A', 'N/A', 'N/A')
(791, 'αδελφω', 14, 'N/A', 'N/A', 'N/A', 'N/A')
(3039, 'αδελφων', 23, 'N/A', 'N/A', 'N/A', 'N/A')
(7001, 'αδη', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(6550, 'αδηλα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13231, 'αδηλον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15370, 'αδηλοτητι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13014, 'αδηλωσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3812, 'αδημονειν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(14593, 'αδημονων', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(8990, 'αδην', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(17601, 'αδησ', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(16633, 'αδιακριτοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(15386, 'αδιαλειπτον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(12102, 'αδιαλειπτοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11612, 'αδιαλειπτωσ', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(15650, 'αδιαφθοριαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(12812, 'αδικεισθε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9405, 'αδικειτε', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(13708, 'αδικηθεντοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17451, 'αδικηθη', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(10483, 'αδικημα', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(18018, 'αδικηματα', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17629, 'αδικησαι', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(13707, 'αδικησαντοσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(18200, 'αδικησατω', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(6433, 'αδικηση', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17598, 'αδικησησ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17630, 'αδικησητε', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17700, 'αδικησουσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(17699, 'αδικησωσιν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(8117, 'αδικια', 9, 'N/A', 'N/A', 'N/A', 'N/A')
(16061, 'αδικιαισ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(11631, 'αδικιαν', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(3393, 'αδικιασ', 17, 'N/A', 'N/A', 'N/A', 'N/A')
(7115, 'αδικοι', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(6970, 'αδικοσ', 4, 'N/A', 'N/A', 'N/A', 'N/A')
(17117, 'αδικουμενοι', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(9396, 'αδικουμενον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(928, 'αδικουσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(17751, 'αδικουσιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(3006, 'αδικω', 3, 'N/A', 'N/A', 'N/A', 'N/A')
(9406, 'αδικων', 8, 'N/A', 'N/A', 'N/A', 'N/A')
(16852, 'αδικωσ', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(5797, 'αδμιν', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14006, 'αδοκιμοι', 5, 'N/A', 'N/A', 'N/A', 'N/A')
(11680, 'αδοκιμον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(13019, 'αδοκιμοσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(16809, 'αδολον', 1, 'N/A', 'N/A', 'N/A', 'N/A')
(14447, 'αδοντεσ', 2, 'N/A', 'N/A', 'N/A', 'N/A')
(1912, 'αδου', 10, 'N/A', 'N/A', 'N/A', 'N/A')
