id,word,book,chapter,verse,word_index
75,δὲ,JOH,8,6,1
76,ἔλεγον,JOH,8,6,2
77,πειράζοντες,JOH,8,6,3
78,αὐτόν,JOH,8,6,4
79,ἵνα,JOH,8,6,5
80,ἔχωσιν,JOH,8,6,6
81,κατηγορίαν,JOH,8,6,7
82,κατ,JOH,8,6,8
83,αὐτοῦ,JOH,8,6,9
84,Ὁ,JOH,8,6,10
85,δὲ,JOH,8,6,11
86,Ἰησοῦς,JOH,8,6,12
87,κάτω,JOH,8,6,13
88,κύψας,JOH,8,6,14
89,τῷ,JOH,8,6,15
90,δακτύλῳ,JOH,8,6,16
91,ἔγραφεν,JOH,8,6,17
92,εἰς,JOH,8,6,18
93,τὴν,JOH,8,6,19
94,γῆν,JOH,8,6,20
95,Ὡς,JOH,8,7,0
96,δὲ,JOH,8,7,1
97,ἐπέμενον,JOH,8,7,2
98,ἐπερωτῶντες,JOH,8,7,3
99,αὐτόν,JOH,8,7,4
100,ἀναβλέψας,JOH,8,7,5
101,εἶπεν,JOH,8,7,6
102,αὐτοῖς,JOH,8,7,7
103,Ὁ,JOH,8,7,8
104,ἀναμάρτητος,JOH,8,7,9
105,ὑμῶν,JOH,8,7,10
106,πρῶτος,JOH,8,7,11
107,λίθον,JOH,8,7,12
108,βαλέτω,JOH,8,7,13
109,ἐπ,JOH,8,7,14
110,αὐτήν,JOH,8,7,15
111,Καὶ,JOH,8,8,0
112,πάλιν,JOH,8,8,1
113,κάτω,JOH,8,8,2
114,κύψας,JOH,8,8,3
115,ἔγραφεν,JOH,8,8,4
116,εἰς,JOH,8,8,5
117,τὴν,JOH,8,8,6
118,γῆν,JOH,8,8,7
119,Οἱ,JOH,8,9,0
120,δέ,JOH,8,9,1
121,ἀκούσαντες,JOH,8,9,2
122,εἷς,JOH,8,9,3
123,καθ,JOH,8,9,4
124,εἷς,JOH,8,9,5
125,ἀρξάμενοι,JOH,8,9,6
126,ἀπὸ,JOH,8,9,7
127,τῶν,JOH,8,9,8
128,πρεσβυτέρων,JOH,8,9,9
129,ἕως,JOH,8,9,10
130,τῶν,JOH,8,9,11
131,ἐσχάτων,JOH,8,9,12
132,καὶ,JOH,8,9,13
133,κατελείφθη,JOH,8,9,14
134,καὶ,JOH,8,9,15
135,ἡ,JOH,8,9,16
136,γυνὴ,JOH,8,9,17
137,ἐν,JOH,8,9,18
138,μέσῳ,JOH,8,9,19
139,οὖσα,JOH,8,9,20
140,Ἀνακύψας,JOH,8,10,0
141,δὲ,JOH,8,10,1
142,ὁ,JOH,8,10,2
143,Ἰησοῦς,JOH,8,10,3
144,εἶδεν,JOH,8,10,4
145,αὐτὴν,JOH,8,10,5
146,καὶ,JOH,8,10,6
147,εἶπεν,JOH,8,10,7
148,Γύναι,JOH,8,10,8
149,ποῦ,JOH,8,10,9
150,Οὐδείς,JOH,8,10,10
151,σε,JOH,8,10,11
152,κατέκρινεν,JOH,8,10,12
153,Ἡ,JOH,8,11,0
154,δὲ,JOH,8,11,1
155,εἶπεν,JOH,8,11,2
156,Οὐδείς,JOH,8,11,3
157,κύριε,JOH,8,11,4
158,Εἶπεν,JOH,8,11,5
159,δὲ,JOH,8,11,6
160,αὐτῇ,JOH,8,11,7
161,ὁ,JOH,8,11,8
162,Ἰησοῦς,JOH,8,11,9
163,Οὐδὲ,JOH,8,11,10
164,ἐγώ,JOH,8,11,11
165,σε,JOH,8,11,12
166,κατακρίνω,JOH,8,11,13
167,πορεύου,JOH,8,11,14
168,μηκέτι,JOH,8,11,15
169,ἁμάρτανε,JOH,8,11,16
170,ὃς,ACT,24,6,0
171,καὶ,ACT,24,6,1
172,τὸ,ACT,24,6,2
173,ἱερὸν,ACT,24,6,3
174,ἐπείρασεν,ACT,24,6,4
175,βεβηλῶσαι,ACT,24,6,5
176,ὃν,ACT,24,6,6
177,καὶ,ACT,24,6,7
178,ἐκρατήσαμεν,ACT,24,6,8
179,καὶ,ACT,24,6,9
180,κατὰ,ACT,24,6,10
181,τὸν,ACT,24,6,11
182,ἡμέτερον,ACT,24,6,12
183,νόμον,ACT,24,6,13
184,ἠθελήσαμεν,ACT,24,6,14
185,κρῖναι,ACT,24,6,15
186,Παρελθὼν,ACT,24,7,0
187,δὲ,ACT,24,7,1
188,Λυσίας,ACT,24,7,2
189,ὁ,ACT,24,7,3
190,χιλίαρχος,ACT,24,7,4
191,μετὰ,ACT,24,7,5
192,πολλῆς,ACT,24,7,6
193,βίας,ACT,24,7,7
194,ἐκ,ACT,24,7,8
195,τῶν,ACT,24,7,9
196,χειρῶν,ACT,24,7,10
197,ἡμῶν,ACT,24,7,11
198,ἀπήγαγεν,ACT,24,7,12
199,κελεύσας,ACT,24,8,0
200,τοὺς,ACT,24,8,1
201,κατηγόρους,ACT,24,8,2
202,αὐτοῦ,ACT,24,8,3
203,ἔρχεσθαι,ACT,24,8,4
204,ἐπὶ,ACT,24,8,5
205,παρ,ACT,24,8,6
206,οὗ,ACT,24,8,7
207,δυνήσῃ,ACT,24,8,8
208,αὐτὸς,ACT,24,8,9
209,ἀνακρίνας,ACT,24,8,10
210,περὶ,ACT,24,8,11
211,πάντων,ACT,24,8,12
212,τούτων,ACT,24,8,13
213,ἐπιγνῶναι,ACT,24,8,14
214,ὧν,ACT,24,8,15
215,ἡμεῖς,ACT,24,8,16
216,κατηγοροῦμεν,ACT,24,8,17
217,αὐτοῦ,ACT,24,8,18
